nombre,e_code,status,ssi,confidence,total_papers,papers_negative,ratio_negative,pct_human_studies,reason
Mineral oil medium viscosity,E905E,SAFE,0.0447,0.09,19,7,0.395,67.0,Low negative evidence
Sodium propyl para-hydroxybenzoate,E217,SAFE,0.0965,0.23,137,62,0.454,48.0,Low negative evidence
Chlorine dioxide,E926,WATCHLIST,0.2492,0.72,1301,506,0.389,48.0,Moderate concerns (SSI: 24.9%)
Dimethyl dicarbonate,E242,SAFE,0.0846,0.22,120,50,0.418,60.0,Low negative evidence
Calcium hydrogen malate,E352II,SAFE,0.0768,0.2,98,48,0.497,9.0,Low negative evidence
Processed eucheuma seaweed,E407A,UNKNOWN,0.032,0.04,7,4,0.7,40.0,Insufficient research (7 papers)
Acetylated distarch phosphate,E1414,SAFE,0.0671,0.11,29,14,0.498,47.0,Low negative evidence
Calcium sorbate,E203,SAFE,0.0912,0.25,156,68,0.439,59.0,Low negative evidence
Sodium sulphite,E221,SAFE,0.0841,0.29,204,67,0.33,52.0,Low negative evidence
Talc,E553B,WATCHLIST,0.3209,0.65,1045,345,0.33,68.0,Moderate concerns (SSI: 32.1%)
Propylene Glycol,E1520,DANGEROUS,0.3622,0.98,2407,852,0.354,35.0,High negative evidence
isomalt,E953,SAFE,0.0597,0.17,69,21,0.308,61.0,Low negative evidence
Anionic methacrylate copolymer,E1207,SAFE,0.0214,0.07,11,3,0.331,57.0,Low negative evidence
Glutamic acid,E620,DANGEROUS,0.4612,1.0,34160,19437,0.569,21.0,High negative evidence
Sorbitan monooleate,E494,SAFE,0.071,0.28,197,51,0.262,36.0,Low negative evidence
Erythrosine,E127,SAFE,0.1965,0.53,704,276,0.392,42.0,Low negative evidence
Hydrochloric acid,E507,WATCHLIST,0.2914,1.0,9719,2475,0.255,36.0,Moderate concerns (SSI: 29.1%)
Formaldehyde,E240,DANGEROUS,0.483,1.0,22926,9123,0.398,41.0,High negative evidence
Sodium hydrogen malate,E350II,SAFE,0.1023,0.23,138,74,0.537,17.0,Low negative evidence
Lecithin citrate,E344,SAFE,0.0643,0.2,102,33,0.326,49.0,Low negative evidence
Carrageenan,E407,WATCHLIST,0.3484,1.0,4387,1319,0.301,17.0,Moderate concerns (SSI: 34.8%)
calcium lactate,E327,SAFE,0.1008,0.39,371,118,0.32,43.0,Low negative evidence
Leucine,E641,DANGEROUS,0.6932,1.0,53009,34111,0.644,27.0,High negative evidence
Annatto,E160B,SAFE,0.0511,0.21,110,33,0.3,35.0,Low negative evidence
Magnesium diglutamate,E625,SAFE,0.0422,0.11,33,13,0.406,71.0,Low negative evidence
Sodium gluconate,E576,SAFE,0.1057,0.3,227,94,0.416,34.0,Low negative evidence
Basic methacrylate copolymer,E1205,SAFE,0.0159,0.07,12,2,0.229,43.0,Low negative evidence
Hydroxypropyl distarch phosphate,E1442,SAFE,0.0361,0.11,31,9,0.294,43.0,Low negative evidence
Polyglycerol polyricinoleate,E476,SAFE,0.0619,0.2,98,25,0.257,44.0,Low negative evidence
Trisodium phosphate,E339III,SAFE,0.0145,0.27,176,18,0.106,32.0,Low negative evidence
Orange GGN,E111,SAFE,0.0974,0.29,205,77,0.378,74.0,Low negative evidence
Spiramycin,E710,WATCHLIST,0.2312,0.49,597,201,0.338,35.0,Moderate concerns (SSI: 23.1%)
Sulphuric acid,E513,SAFE,0.1784,0.76,1436,317,0.221,46.0,Low negative evidence
ammonium malate,E349,SAFE,0.0698,0.18,82,28,0.349,58.0,Low negative evidence
Tragacanth,E413,SAFE,0.1195,0.33,273,75,0.275,41.0,Low negative evidence
Pullulan,E1204,WATCHLIST,0.2276,0.68,1156,443,0.384,37.0,Moderate concerns (SSI: 22.8%)
Monopotassium glutamate,E622,SAFE,0.0425,0.15,59,15,0.266,52.0,Low negative evidence
Helium,E939,SAFE,0.0811,1.0,11065,1023,0.093,48.0,Low negative evidence
Octyl gallate,E311,SAFE,0.1285,0.28,200,93,0.469,48.0,Low negative evidence
Methyl glucoside-coconut oil ester,E489,WATCHLIST,0.2375,0.76,1458,572,0.393,27.0,Moderate concerns (SSI: 23.7%)
Sodium nitrate,E251,DANGEROUS,0.3993,0.68,1159,749,0.647,35.0,High negative evidence
