nombre,e_code,status,ssi,confidence,total_papers,papers_negative,ratio_negative,pct_human_studies,reason,efsa_status
Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids,E472E,UNKNOWN,0.0057,0.02,3,2,0.667,100.0,Insufficient research (3 papers),APROVED
Pentasodium triphosphate,E451I,UNKNOWN,0.0217,0.04,9,1,0.192,25.0,Insufficient research (9 papers),APROVED
Ethyl ester of beta-apo-8'-carotenic acid (C 30),E160F,UNKNOWN,0.0,0.0,0,0,0.0,0.0,No scientific literature found,APROVED
Ethyl gallate,E313,SAFE,0.0709,0.26,173,52,0.306,54.0,Low negative evidence,APROVED
Steviol glycosides,E960,RESTRICTED,0.1943,0.36,320,155,0.485,53.0,Low negative evidence,RESTRICTED
Cassia gum,E427,SAFE,0.0474,0.17,72,20,0.291,64.0,Low negative evidence,APPROVED
Ammonium hydroxide,E527,SAFE,0.1526,0.68,1164,315,0.271,46.0,Low negative evidence,APPROVED
Yellow 2G,E107,SAFE,0.1264,0.32,257,116,0.453,67.0,Low negative evidence,APROVED
Calcium salts of fatty acids,E470AIII,SAFE,0.024,0.05,45,19,0.433,3.0,Low negative evidence,APROVED
Trisodium diphosphate,E450II,SAFE,0.0286,0.11,28,11,0.394,37.0,Low negative evidence,APROVED
Calcium polyphosphate,E544,SAFE,0.0405,0.19,91,26,0.291,28.0,Low negative evidence,APROVED
Alpha-tocopherol,E307,SAFE,0.448,1.0,8374,5274,0.63,36.0,High negative evidence,APPROVED
Acid-treated modified starch,E1401,SAFE,0.0192,0.09,19,5,0.27,56.0,Low negative evidence,APROVED
Sucrose acetate isobutyrate,E444,SAFE,0.0689,0.16,64,33,0.519,56.0,Low negative evidence,APPROVED
Carbamide,E927B,SAFE,0.0673,0.5,621,91,0.148,51.0,Low negative evidence,APROVED
Distarch glycerine,E1430,UNKNOWN,0.0106,0.06,9,2,0.262,62.0,Insufficient research (9 papers),APROVED
Potassium citrates,E332,SAFE,0.3505,0.78,1516,602,0.397,30.0,High negative evidence,APPROVED
Sodium hydrogen sulphate,E514II,UNKNOWN,0.0042,0.03,4,1,0.25,100.0,Insufficient research (4 papers),APROVED
Modified Starch,E14XX,SAFE,0.1491,0.54,724,121,0.168,33.0,Low negative evidence,APROVED
Indigotine,E132,SAFE,0.0937,0.3,219,80,0.366,66.0,Low negative evidence,APPROVED
potassium iodate,E917,SAFE,0.0689,0.25,161,61,0.38,61.0,Low negative evidence,APROVED
ammonium fumarate,E368,SAFE,0.0539,0.16,61,23,0.378,68.0,Low negative evidence,APROVED
non-amidated pectines,E440I,UNKNOWN,0.0,0.0,0,0,0.0,0.0,No scientific literature found,APROVED
Tetrapotassium diphosphate,E450V,UNKNOWN,0.0012,0.04,9,0,0.076,40.0,Insufficient research (9 papers),APROVED
Isopropyl citrates,E384,SAFE,0.0462,0.15,56,21,0.387,62.0,Low negative evidence,APROVED
Calcium sulphite,E226,SAFE,0.0439,0.18,84,24,0.288,69.0,Low negative evidence,APPROVED
Nitrous oxide,E942,SAFE,0.3595,1.0,12703,3832,0.302,53.0,High negative evidence,APPROVED
Propionic acid,E280,SAFE,0.3606,1.0,6533,2878,0.441,21.0,High negative evidence,APPROVED
Sodium salts of fatty acids,E470AI,UNKNOWN,0.0575,0.02,7,3,0.493,25.0,Insufficient research (7 papers),APROVED
Dimagnesium phosphate,E343II,UNKNOWN,0.0071,0.04,8,2,0.3,33.0,Insufficient research (8 papers),APROVED
Ethyl maltol,E637,SAFE,0.0885,0.17,76,31,0.408,56.0,Low negative evidence,APROVED
Sodium tartrates,E335,SAFE,0.162,0.53,713,248,0.349,39.0,Low negative evidence,APPROVED
Carnauba wax,E903,SAFE,0.0453,0.27,178,21,0.119,37.0,Low negative evidence,APPROVED
L-cysteine hydrochloride monohydrate,E921,SAFE,0.0098,0.1,24,3,0.125,50.0,Low negative evidence,APROVED
chloropentafluoroethane,E945,SAFE,0.0276,0.09,20,8,0.411,67.0,Low negative evidence,APROVED
