id,codigo_e,nombre_limpio,pubchem_cid,pubchem_synonyms,id_original,nombre_referencia,cluster
en:e352ii,E352II,calcium hydrogen malate,,,149,calcium hydrogen malate,0
en:e407a,E407A,processed eucheuma seaweed,,,150,processed eucheuma seaweed,0
en:e1414,E1414,acetylated distarch phosphate,9884549.0,"5-Thiazolecarboxylic acid, 2-[3-cyano-4-(2-methylpropoxy)phenyl]-4-methyl-, ethyl ester|EC 927-913-5|Ethyl 2-[3-cyano-4-(2-methylpropoxy)phenyl]-4-methyl-5-thiazolecarboxylate|5-Thiazolecarboxylic acid, 2-(3-cyano-4-(2-methylpropoxy)phenyl)-4-methyl-, ethyl ester|Ethyl 2-(3-cyano-4-(2-methylpropoxy)phenyl)-4-methyl-5-thiazolecarboxylate",151,acetylated distarch phosphate,2
en:e203,E203,calcium sorbate,,,152,calcium sorbate,0
en:e221,E221,sodium sulphite,,,153,sodium sulphite,3
en:e553b,E553B,talc,,,154,talc,2
en:e953,E953,isomalt,4454759.0,1-O-Hexopyranosylhexitol|DTXSID10860798|850347-32-9|RefChem:232520|DTXCID60201172,156,isomalt,2
en:e1207,E1207,anionic methacrylate copolymer,2763245.0,4-(Ethoxycarbonyl)-3-fluorophenylboronic Acid (contains varying amounts of Anhydride)|RefChem:516051|672-937-9|874288-38-7|4-Ethoxycarbonyl-3-fluorophenylboronic acid,157,anionic methacrylate copolymer,2
en:e620,E620,glutamic acid,33032.0,L-glutamic acid|GLUTAMIC ACID|56-86-0|L-glutamate|(2S)-2-Aminopentanedioic acid,158,glutamic acid,3
en:e494,E494,sorbitan monooleate,,,159,sorbitan monooleate,2
en:e127,E127,erythrosine,3259.0,"ERYTHROSINE|E127|3',6'-dihydroxy-2',4',5',7'-tetraiodospiro[2-benzofuran-3,9'-xanthene]-1-one|FD & C red no. 3|3',6'-dihydroxy-2',4',5',7'-tetraiodospiro(2-benzofuran-3,9'-xanthene)-1-one",160,erythrosine,3
en:e507,E507,hydrochloric acid,313.0,hydrochloric acid|hydrogen chloride|7647-01-0|Muriatic acid|chlorane,161,hydrochloric acid,0
en:e240,E240,formaldehyde,712.0,formaldehyde|formalin|methanal|50-00-0|formol,162,formaldehyde,3
en:e350ii,E350II,sodium hydrogen malate,,,163,sodium hydrogen malate,3
en:e344,E344,lecithin citrate,,,164,lecithin citrate,0
en:e407,E407,carrageenan,,,165,carrageenan,0
en:e327,E327,calcium lactate,,,166,calcium lactate,0
en:e641,E641,leucine,6106.0,L-leucine|61-90-5|leucine|(S)-Leucine|(S)-2-Amino-4-methylpentanoic acid,167,leucine,3
en:e160b,E160B,annatto,5281226.0,"Bixin|6983-79-5|(2E,4E,6E,8E,10E,12E,14E,16Z,18E)-20-methoxy-4,8,13,17-tetramethyl-20-oxoicosa-2,4,6,8,10,12,14,16,18-nonaenoic acid|DTXSID1024629|Methyl (9-cis)-hydrogen-6,6'-diapo-psi,psi-carotenedioate",168,annatto,3
en:e625,E625,magnesium diglutamate,,,169,magnesium diglutamate,0
en:e576,E576,sodium gluconate,23672301.0,"SODIUM GLUCONATE|527-07-1|Sodium D-gluconate|D-Gluconic acid, monosodium salt|gluconate sodium",170,sodium gluconate,2
en:e1205,E1205,basic methacrylate copolymer,44558175.0,3-ETHOXY-5-FLUOROPHENYLBORONIC ACID|3-Ethoxy-5-fluorophenylboronic Acid (contains varying amounts of Anhydride)|RefChem:501181|834-843-8|850589-53-6,171,basic methacrylate copolymer,1
en:e1442,E1442,hydroxypropyl distarch phosphate,,,172,hydroxypropyl distarch phosphate,2
en:e476,E476,polyglycerol polyricinoleate,,,173,polyglycerol polyricinoleate,2
en:e339iii,E339III,trisodium phosphate,,,174,trisodium phosphate,0
en:e111,E111,orange ggn,,,175,orange ggn,3
en:e710,E710,spiramycin,,,176,spiramycin,0
