id,codigo_e,nombre
en:e501ii,E501II,E501ii - Potassium hydrogen carbonate
en:e133,E133,E133 - Brilliant blue FCF
en:e261,E261,E261 - Potassium acetate
en:e431,E431,E431 - Polyoxyethylene (40) stearate
en:e905,E905,E905 - Synthetic wax
en:e161j,E161J,E161j - Astaxanthin
en:e333,E333,E333 - Calcium citrates
en:e1420,E1420,E1420 - Acetylated starch
en:e470aii,E470AII,E470aii - Potassium salts of fatty acids
en:e558,E558,E558 - Bentonite
en:e487,E487,E487 - sodium dodecyl sulfate
en:e902,E902,E902 - Candelilla wax
en:e458,E458,E458 - Gamma-Cyclodextrine
en:e966,E966,E966 - Lactitol
en:e370,E370,E370 - 1‚4-Heptonolactone
en:e500i,E500I,E500i - Sodium carbonate
en:e900a,E900A,E900a - Dimethyl polysiloxane
en:e252,E252,E252 - Potassium nitrate
en:e170,E170,E170 - Calcium carbonates
en:e1210,E1210,E1210 - Carbomer
en:e1450,E1450,E1450 - Starch sodium octenyl succinate
en:e375,E375,E375 - Nicotinic acid
en:e141i,E141I,E141i - Copper complexes of chlorophylls
en:e283,E283,E283 - Potassium propionate
en:e638,E638,E638
en:e296,E296,E296 - Malic acid
en:e175,E175,E175 - Gold
en:e1400,E1400,E1400 - Dextrin
en:e359,E359,E359 - ammonium adipate
en:e943a,E943A,E943a - Butane
en:e472g,E472G,E472g - Succinylated monoglycerides
en:e341i,E341I,E341i - Monocalcium phosphate
en:e905a,E905A,E905a - mineral oil
en:e900,E900,E900 - Dimethylpolysiloxane and Methylphenylpolysiloxane
en:e154,E154,E154 - Brown FK
en:e1517,E1517,E1517 - Glyceryl diacetate
en:e140ii,E140II,E140ii - Chlorophyllins
en:e340ii,E340II,E340ii - Dipotassium phosphate
en:e250,E250,E250 - Sodium nitrite
en:e322i,E322I,E322i - Lecithin
en:e354,E354,E354 - Calcium tartrate
en:e172,E172,E172 - Iron oxides and iron hydroxides
en:e918,E918,E918 - Nitrogen oxides
en:e367,E367,E367 - Calcium fumarate
en:e452iii,E452III,E452iii - Sodium calcium polyphosphate
en:e336,E336,E336 - Potassium tartrates
en:e428,E428,E428 - Gelatine
en:e214,E214,E214 - Ethyl p-hydroxybenzoate
en:e163f,E163F,E163f - Petunidin
en:e160bi,E160BI,E160bi - Annatto bixin
en:e310,E310,E310 - Propyl gallate
en:e528,E528,E528 - Magnesium hydroxide
en:e472c,E472C,E472c - Citric acid esters of mono- and diglycerides of fatty acids
en:e1510,E1510,E1510 - Ethanol
en:e308,E308,E308 - Gamme-tocopherol
en:e222,E222,E222 - Sodium bisulphite
en:e110,E110,E110 - Sunset yellow FCF
en:e1102,E1102,E1102 - Glucose oxidase
en:e350i,E350I,E350i - Sodium malate
en:e946,E946,E946 - octafluorocyclobutane
en:e640,E640,E640 - Glycine and its sodium salt
en:e161b,E161B,E161b - Lutein
en:e219,E219,E219 - Sodium methyl p-hydroxybenzoate
en:e225,E225,E225 - Calcium Disulphite
en:e963,E963,E963 - Tagatose
en:e241,E241,E241 - Gum Guaicum
en:e905cii,E905CII,E905cii - Paraffin wax
